id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,estimated_diameter_mean_km,estimated_diameter_min_m,estimated_diameter_max_m,relative_velocity_km_s,relative_velocity_km_h,miss_distance_km,miss_distance_astronomical,miss_distance_lunar,orbiting_body,close_approach_date,is_sentry_object,is_potentially_hazardous_asteroid
3836857,3836857,(2018 XQ2),28.2,0.0060891262,0.0136157002,0.0098524132,6.0891262211,13.6157001539,7.9518135832,28626.5288995957,18147407.418516554,0.1213079265,47.1887834085,Earth,2023-01-17,True,0
3844004,3844004,(2019 SP2),24.02,0.0417402433,0.0933340215,0.0675371324,41.7402433392,93.3340215038,7.2417202795,26070.1930062806,40123165.80503877,0.2682067987,104.3324446943,Earth,2023-01-17,False,0
3986679,3986679,(2020 AK3),26.13,0.0157962856,0.0353215683,0.02555892695,15.796285576,35.3215683399,14.5283305753,52301.9900709274,43779612.69376404,0.2926486366,113.8403196374,Earth,2023-01-17,False,0
3605885,3605885,(2012 MO3),20.89,0.1764229081,0.3944936153,0.2854582617,176.4229081128,394.4936153285,19.4367966579,69972.4679684458,74450764.44787173,0.4976726236,193.5946505804,Earth,2023-01-18,False,0
3797409,3797409,(2018 AV),23.53,0.0523064176,0.1169607054,0.08463356150000001,52.3064175804,116.9607053693,2.1078103665,7588.1173194172,32022389.189198516,0.2140564514,83.2679595946,Earth,2023-01-18,False,0
3370021,3370021,(2007 EC),22.23,0.095182033,0.212833496,0.1540077645,95.1820329819,212.8334959841,15.6425392093,56313.1411535776,47320651.79704506,0.3163190211,123.0480992079,Earth,2023-01-22,False,0
3554439,3554439,(2010 YO),24.6,0.0319561887,0.0714562102,0.05170619945,31.9561886721,71.4562101727,15.3315347217,55193.5249981729,45905543.34192071,0.3068596053,119.3683864617,Earth,2023-01-22,False,0
3767162,3767162,(2017 BL30),23.26,0.0592318063,0.1324463452,0.09583907575,59.2318062676,132.4463452445,5.3655699661,19316.0518780581,39639400.7757678,0.2649730292,103.0745083588,Earth,2023-01-22,False,0
2496816,2496816,496816 (1989 UP),20.54,0.2072788434,0.4634895841,0.33538421375,207.2788433771,463.4895840887,16.7129652224,60166.6748005831,48695062.824826315,0.3255063914,126.6219862546,Earth,2023-01-23,False,1
3694126,3694126,(2014 UU34),23.18,0.0614546821,0.1374168468,0.09943576444999999,61.4546821229,137.4168467624,4.6041024651,16574.7688743033,65948782.0823874,0.4408403815,171.4869084035,Earth,2023-01-23,False,0
3738969,3738969,(2015 YD2),22.63,0.0791689667,0.1770271912,0.12809807895,79.1689666942,177.0271912367,9.9097123335,35674.9644006161,30978509.583814465,0.2070785472,80.5535548608,Earth,2023-01-23,False,0
3739963,3739963,(2016 AO164),22.15,0.0987540639,0.2208207999,0.1597874319,98.754063894,220.8207999214,17.1066526162,61583.9494182494,61693299.784590505,0.4123942392,160.4213590488,Earth,2023-01-23,False,0
3786458,3786458,(2017 UG),27.5,0.008405334,0.0187948982,0.0136001161,8.4053340207,18.7948982439,11.3364827112,40811.3377603304,49709899.484768786,0.3322901555,129.2608704895,Earth,2023-01-23,False,0
3825627,3825627,(2018 NT3),23.11,0.0634680239,0.1419188158,0.10269341985,63.4680238998,141.9188158376,10.1304646177,36469.6726237459,51255778.16996428,0.3426237163,133.2806256407,Earth,2023-01-23,False,0
3756042,3756042,(2016 OJ),21.59,0.1278070988,0.285785361,0.20679622990000002,127.8070988179,285.7853609639,12.9549692041,46637.8891347269,35172105.11276574,0.235111002,91.458179778,Earth,2023-01-26,False,0
3802000,3802000,(2018 FQ1),26.93,0.0109283596,0.0244365549,0.01768245725,10.928359587,24.436554919,5.5348727779,19925.5420004768,46337481.92446547,0.3097469364,120.4915582596,Earth,2023-01-26,False,0
3825001,3825001,(2018 KP1),25.0,0.02658,0.0594346868,0.043007343399999995,26.58,59.4346868419,16.9802801347,61129.0084850719,63581933.98293452,0.4250189791,165.3323828699,Earth,2023-01-26,False,0
3837955,3837955,(2019 BA1),22.19,0.0969515991,0.2167903661,0.1568709826,96.9515990928,216.7903660989,18.909919975,68075.7119100929,36469166.546903715,0.2437813222,94.8309343358,Earth,2023-01-26,False,0
